system:index,control_P95_C,control_mean_C,control_median_C,control_valid_pixels,date,delta_P95_C,delta_median_C,month,scene_count,site_P90_C,site_P95_C,site_max_C,site_mean_C,site_median_C,site_valid_pixels,year,.geo,pixel_coverage_fraction,good_pixel_coverage,monthly_median_delta,monthly_MAD_delta,robust_Z,thermal_class
3,48.68188147368424,43.00827883231145,42.68740821222531,4723,2013-06-07,9.301707437774697,4.798466087774706,6,1,51.40634324000001,51.98911565,52.83507559999998,47.146740773758594,47.48587430000001,294,2013,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.137254954762348,1.2319792138873433,0.6375208532643534,Background range
8,48.44473222347947,40.26990212947675,39.43861794420717,3605,2013-10-13,14.534658315792868,7.623421875792857,10,1,53.174598920000015,53.973276260000034,55.07387870000002,46.89664611658,47.06203982000002,294,2013,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.02100873857114,3.5487631469695557,1.0479441813421184,Background range
9,40.22236309225027,33.07956294356412,32.53008199843397,3115,2013-10-29,5.31013986156605,2.6934838021762744,10,2,37.531745555000015,37.84022186000002,38.012831870000014,34.996603655906604,35.223565800610245,206,2013,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7006802721088435,True,9.02100873857114,3.5487631469695557,-0.7053011608584245,Background range
11,39.91383374082665,35.567241177806615,35.71587919701379,2386,2013-12-16,3.7889184029862255,2.907069242986225,12,1,39.316806499999984,39.50479760000002,40.00041050000005,38.54824559985403,38.622948440000016,39,2013,"{""type"":""MultiPoint"",""coordinates"":[]}",0.1326530612244898,False,9.623865966464932,1.1885115369380888,-3.3113841063217824,Background range
0,30.662008336086977,25.335095002041182,24.477343037369536,1221,2014-01-17,11.17591569263049,7.352860322630487,1,2,35.02548239000001,35.653258730000026,36.32774801000002,31.350530456871123,31.830203360000024,201,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6836734693877551,True,9.282853171546076,1.3636745011020182,0.9363328100298481,Background range
1,38.78133473203668,34.15125994732365,34.15349328016495,3859,2014-02-02,9.36861715983506,6.058264789835043,2,2,43.14498890000005,43.52211044000001,44.43870947000002,39.67858762812696,40.21175807,255,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8673469387755102,True,8.426833472904178,1.6478439934050328,0.38548818747585323,Background range
3,40.46715012578949,35.87825356854323,35.96486822000002,2973,2014-03-06,9.255713324999997,5.981421065999989,3,2,44.901423927500005,45.220581545000016,45.75977420000001,41.29417366788096,41.94628928600001,266,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9047619047619048,True,9.255713324999997,1.57838768186848,0.0,Background range
5,45.95075606750002,41.67722450370192,42.28337231698245,2156,2014-04-07,12.899883023017573,9.194749343017556,4,2,54.742330760000016,55.18325534000002,55.62759793999999,50.96975855019928,51.47812166,177,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6020408163265306,True,8.717302541336988,1.2942534602992204,2.179721339132834,Elevated anomaly
8,50.82453623387297,42.91693471033937,42.56488918556065,4906,2014-05-25,10.623951484439369,4.133558756939372,5,2,52.45738439000004,53.18884067000002,54.39881975000003,46.529463272284666,46.698447942500025,294,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.526327090928367,2.659472256821113,0.27837760251133564,Background range
12,37.05355985964028,31.286349721322857,31.560439938279725,4643,2014-08-13,9.677293801720284,5.132539882468794,8,2,40.74553886000001,41.23773374000001,41.91108367999999,36.23547642153778,36.69297982074852,294,2014,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.778566383138529,0.3723682370087902,-0.18344051282047147,Background range
