Event_ID,Event_Date_ISO,Event_Date_Sort,Date_Precision,Sort_Date_Imputed,Start_Time_ICT,End_Time_ICT,Year,Event_Class,Core_Dataset_Flag,Site_Relationship,Reported_Location,Target_Lat,Target_Lon,Operator_or_Owner,Burning_Material,Fire_Area_m2,Duration_min,Firefighting_Resources,Smoke_Offsite_Impact,Health_Impact,Injuries,Deaths,Cause_Normalized,Cause_Status,Primary_Source_Type,Evidence_Confidence,Confidence_Score_0_100,FIRMS_Use,Notes,Primary_Source_ID,Secondary_Source_IDs
PSM-2008-P01,2008-04,2008-04-01,Month only,Yes,,,2008,PROBABLE_TARGET_PREDECESSOR,PROBABLE,"Probable predecessor of present Praek Sa Mai facility; same Moo 5 / former T. Sangchai operation, but historical street description varies","Moo 5, Tambon Praek Sa Mai; retrospective report also describes Soi Praksa 11 near Praek Sa Mai local authority",13.581714,100.672139,T. Sangchai / T. Sangchai Paknam (historical operator),Municipal solid waste / old open-dump mass,,7200.0,Not reliably quantified in accessible source,Yes; smoke reported for about 5 days and dispersed toward Bang Na–Trat,Eye/nose irritation and breathing difficulty reported among nearby residents,,0.0,Unknown,Not established,National news retrospective + government site-history corroboration,High-moderate,80,"Use as probable ground truth; exact day unavailable, search whole April 2008 and wider temporal window",Historical event is strongly tied to a Praek Sa Mai Moo 5 landfill operated by T. Sangchai. Exact ignition date and exact coordinate are not recovered. Keep separate from the famous Praksa Soi 8 landfill.,S01,S02; S03
PRK-2014-X01,2014-03-16,2014-03-16,Exact day,No,,,2014,EXCLUDED_DIFFERENT_LANDFILL,NO,"Different landfill: Praksa Soi 8, Moo 4, Tambon Praksa","Soi Praksa 8, Moo 4, Tambon Praksa, Mueang Samut Prakan",13.581714,100.672139,Private old Praksa landfill,Large accumulated municipal-waste mass,,8640.0,Large multi-agency response; event persisted until around 22 March,Severe; toxic smoke affected communities and triggered evacuation / emergency declaration,Significant community exposure reported,,,Unknown,Not definitively established,Environmental/government research + independent reporting,Very high,99,EXCLUDE from target-site validation; retain as negative-control / misattribution-risk event,This is the famous March 2014 Praksa landfill disaster and is not the Praek Sa Mai target facility.,S04,S05; S06
PSM-2014-C01,2014-03-17,2014-03-17,Exact day in one source,No,01:56,,2014,AMBIGUOUS_CONFLICT,REVIEW,Conflicting location report; likely misattribution of the Praksa Soi 8 disaster,"One editorial reports Soi Khajornwit, Tambon Praek Sa Mai",13.581714,100.672139,Uncertain due to conflicting reporting,Municipal waste,,,Not independently verified for a separate target-site event,"Reported severe in the article, but likely describing the Soi 8 disaster","Article cites elevated CO, SO2 and VOC values; attribution to target site is doubtful",,,Unknown,Not established,Editorial/news report contradicted by higher-confidence location evidence,Low for target-site attribution,40,Do not use as confirmed target fire. Flag any satellite hotspot for manual spatial review.,"Critical cleaning flag: Komchadluek labels a 17 Mar 2014 fire as Soi Khajornwit/Praek Sa Mai, while official/environmental records identify the major 16–22 Mar event at Praksa Soi 8. Kept to document source conflict.",S07,S04; S05
PRK-2014-X02,2014-05-12,2014-05-12,Exact day,No,,,2014,EXCLUDED_DIFFERENT_LANDFILL,NO,Different landfill: Praksa Soi 8 recurrence,"Praksa Soi 8, Tambon Praksa",13.581714,100.672139,Private old Praksa landfill,Accumulated landfill waste,,,High-pressure water response; described as third recurrence within ~2 months,"Yes, black smoke",Potential community exposure; target-site relevance none,,,Heat / uncertain,Preliminary speculation only,Environmental/government publication + news,Very high,99,EXCLUDE from target-site validation,Retained because search engines can mix this with Praek Sa Mai records.,S05,S08
PRK-2017-X01,2017-07-11,2017-07-11,Exact day,No,,,2017,EXCLUDED_DIFFERENT_LANDFILL,NO,Different old landfill at Soi Praksa 8,"Old waste pit, Soi Praksa 8, Tambon Praksa",13.581714,100.672139,Old Praksa landfill area,Illegally dumped hazardous waste / 200-L drums,,,Authorities responded; details not normalized,Smoke and nuisance odor reported,Not quantified,,,Illegal hazardous-waste dumping / ignition,Incident description,Pollution-control annual/environmental report,Very high,96,EXCLUDE from target-site validation; useful spatial false-positive control,Different site despite shared 'Praksa' naming.,S09,
PSM-2022-01,2022-03-10,2022-03-10,Exact day,No,16:15,17:10,2022,CONFIRMED_TARGET,YES,Inside Eastern Energy Plus / Praek Sa Mai waste-management facility,"Moo 5, Praek Sa Mai; EEP facility / Soi Khajornwit area",13.581714,100.672139,"Eastern Energy Plus Co., Ltd. (EEP)",Old/accumulated waste mound,200.0,55.0,PCD report: 9 fire engines and 6 backhoes; other reports cite additional supporting vehicles,Large black plume visible; PCD/community measurements did not indicate acute exceedance in reported portable-gas readings,No major acute health effect documented in the primary official follow-up,0.0,0.0,Battery / e-waste ignition,Suspected; batteries/lighters/transformers/accessories cited,Pollution Control Department annual report,Very high,99,Primary ground-truth event,One of the strongest target-site events for satellite validation.,S10,S11; S12
PSM-2023-01,2023-01-30,2023-01-30,Exact day,No,20:15,~23:00,2023,CONFIRMED_TARGET,YES,Inside EEP Praek Sa Mai facility,"168/1 Soi Mangkon-Nakdee, Praek Sa Mai, Mueang Samut Prakan",13.581714,100.672139,"Eastern Energy Plus Co., Ltd. (EEP)",Screened/recovered old waste / soil-plastic mixture from old waste,,165.0,More than 10–20 fire vehicles reported across sources; multi-agency response,Air-quality concern prompted monitoring; Bangkok stations recorded elevated PM on 31 Jan but attribution is not isolated to the fire,No specific casualty documented; broader air-quality concern noted,0.0,0.0,Unknown / possible human ignition,Under investigation; one media report raised possible deliberate burning,DDPM daily disaster report + national news,Very high,99,Primary ground-truth event; nighttime timing important for satellite overpass analysis,DDPM report gives 20:15; some news reports give ~21:00–22:00. Retain official time as normalized start.,S13,S14; S15; S16
PRK-2023-X01,2023-05-14,2023-05-14,Exact day,No,12:30,,2023,EXCLUDED_DIFFERENT_LANDFILL,NO,"Different old Praksa landfill, Soi 8","Praksa old dump (บ่อเก่า), Soi 8, Tambon Praksa",13.581714,100.672139,Old Praksa landfill,Old accumulated waste,,,Municipal firefighting support,Yes,Not normalized,,,Unknown,Not established,DDPM / municipality,Very high,99,EXCLUDE from target-site validation,Explicitly identified as 'Praksa old dump' / Soi 8.,S17,S18
PSM-2023-A01,2023-05-27,2023-05-27,Exact day,No,17:05,,2023,ADJACENT_NEAR_SITE,NO,"Private land immediately east of EEP, along Thap Nang Canal",Private land east of EEP landfill / Thap Nang Canal,13.581714,100.672139,Private land; EEP firefighting team assisted,Waste on adjacent private land,1000.0,,EEP firefighting response; exact vehicle count not stated in operator article,Operator reported no community impact; slight wind to north,Operator community survey reported no soot/gas impact,0.0,0.0,Battery / e-waste ignition,Operator-attributed; burned battery debris and sulfur odor reported,Operator statement,High for location/event; moderate for cause,92,"Near-site event; use for spatial attribution test, not as core target fire",Important false-attribution case because the event was next to the facility rather than clearly inside it.,S19,
PSM-2024-01,2024-01-17,2024-01-17,Exact day,No,00:45,~01:15,2024,CONFIRMED_TARGET,YES,Inside Praek Sa Mai landfill,"Praek Sa Mai landfill, Soi Khajornwit, Praek Sa Mai",13.581714,100.672139,"Eastern Energy Plus Co., Ltd. (EEP)",Large piled waste mass,,30.0,6 fire engines + 3 backhoes,Yes; smoke and odor entered nearby communities,Health screening found minor eye irritation / rash in some residents; most screened residents reported no effect,0.0,0.0,Unknown,Not established in DDPM record,DDPM + Ministry of Public Health,Very high,99,Primary ground-truth event,Strong official documentation and documented community smoke impact.,S20,S21
